;Index,County,YEAR,HH,HH_Pop,HH_Size,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,CoName
351992,35,1992,252199,749405,2.97,497075,55857,28791,50289,49400,48865,76614,31820,106839,1070,2900,25407,19223,Salt Lake County
351993,35,1993,257607,766303,2.97,517410,57701,29823,51070,50759,51974,78781,33098,112715,1060,2887,27511,20031,Salt Lake County
351994,35,1994,263016,783200,2.98,537746,59552,30854,51851,52119,55099,80946,34374,118610,1050,2875,29618,20798,Salt Lake County
351995,35,1995,268424,800097,2.98,558082,61402,31888,52634,53481,58241,83109,35648,124523,1041,2862,31727,21526,Salt Lake County
351996,35,1996,273831,816995,2.98,578417,63260,32923,53416,54843,61396,85270,36922,130449,1031,2849,33836,22222,Salt Lake County
351997,35,1997,279239,833892,2.99,598753,65118,33957,54200,56206,64565,87429,38195,136389,1022,2837,35948,22887,Salt Lake County
351998,35,1998,284647,850790,2.99,619088,66978,34994,54984,57570,67745,89587,39467,142340,1012,2824,38059,23528,Salt Lake County
351999,35,1999,290056,867686,2.99,639424,68839,36030,55770,58934,70936,91744,40738,148302,1003,2812,40174,24142,Salt Lake County
352000,35,2000,295464,884584,2.99,659759,70556,37013,56512,60249,73377,93998,42066,153495,992,2799,42203,26499,Salt Lake County
352001,35,2001,300156,897619,2.99,663017,70281,37191,55703,59811,73474,95152,43259,155977,967,2848,41627,26727,Salt Lake County
352002,35,2002,304848,910655,2.99,656458,68982,36819,54101,58507,72490,94878,43786,156105,929,2853,40455,26553,Salt Lake County
352003,35,2003,309539,923690,2.98,653953,68132,36675,52868,57591,71962,95166,44548,157135,898,2875,39561,26542,Salt Lake County
352004,35,2004,314232,936726,2.98,667605,68968,37436,52948,58100,73214,97803,46406,162039,889,2968,39648,27186,Salt Lake County
352005,35,2005,318924,949761,2.98,692959,70989,38854,53919,59604,75741,102177,49111,169843,895,3114,40405,28307,Salt Lake County
352006,35,2006,323616,962796,2.98,724357,73596,40611,55298,61585,78912,107482,52300,179226,907,3289,41468,29683,Salt Lake County
352007,35,2007,328308,975832,2.97,760045,76596,42607,56930,63880,82533,113471,55868,189789,922,3486,42723,31240,Salt Lake County
352008,35,2008,333000,988867,2.97,766468,76625,42963,56333,63689,82967,115113,57317,193103,902,3550,42305,31601,Salt Lake County
352009,35,2009,337692,1001903,2.97,740708,73466,41514,53418,60858,79928,111892,56317,188233,843,3463,40147,30629,Salt Lake County
352010,35,2010,342447,1013395,2.96,734547,72288,41164,51983,59681,79021,111591,56746,188240,810,3466,39098,30459,Salt Lake County
352011,35,2011,350374,1027956,2.93,753612,73759,41948,53132,60962,81851,114289,58573,192821,809,3506,40591,31371,Salt Lake County
352012,35,2012,357871,1041639,2.91,774563,75406,42831,54412,62393,84897,117271,60551,197880,811,3555,42192,32364,Salt Lake County
352013,35,2013,363838,1051946,2.89,797604,77252,43824,55835,63985,88189,120565,62700,203467,813,3611,43916,33447,Salt Lake County
