,scenarioID,PERIOD,TRIPPURP,MODE,TRIPS,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear,modeGroup
145,1.0,ok,HBO,BRT,938,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
146,1.0,ok,NHB,BRT,798,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
147,1.0,ok,NHB,BRT,798,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
148,1.0,ok,HBSch,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,BRT
149,1.0,ok,HBSch,BRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
150,1.0,ok,HBW,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
151,1.0,ok,HBW,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
152,1.0,ok,HBC,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
153,1.0,ok,HBC,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
154,1.0,ok,HBO,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
155,1.0,ok,HBO,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
156,1.0,ok,NHB,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
157,1.0,ok,NHB,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
158,1.0,ok,HBSch,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,EXP
159,1.0,ok,HBSch,EXP,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
160,1.0,ok,HBW,LRT,6429,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
161,1.0,ok,HBW,LRT,6429,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
162,1.0,ok,HBC,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
163,1.0,ok,HBC,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
164,1.0,ok,HBO,LRT,9697,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
165,1.0,ok,HBO,LRT,9697,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
166,1.0,ok,NHB,LRT,4949,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
167,1.0,ok,NHB,LRT,4949,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
168,1.0,ok,HBSch,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,LRT
169,1.0,ok,HBSch,LRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
170,1.0,ok,HBW,CRT,2463,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
171,1.0,ok,HBW,CRT,2463,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
172,1.0,ok,HBC,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
173,1.0,ok,HBC,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
174,1.0,ok,HBO,CRT,2489,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
175,1.0,ok,HBO,CRT,2489,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
176,1.0,ok,NHB,CRT,816,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
177,1.0,ok,NHB,CRT,816,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
178,1.0,ok,HBSch,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,CRT
179,1.0,ok,HBSch,CRT,0,WF TDM v9.1.0 - official,BY_2019,BY,2019,Transit
180,2.0,pk,HBW,Walk,26099,WF TDM v9.1.0 - official,OY_2023,OY,2023,Walk
181,2.0,pk,HBW,Walk,26099,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
182,2.0,pk,HBC,Walk,17221,WF TDM v9.1.0 - official,OY_2023,OY,2023,Walk
183,2.0,pk,HBC,Walk,17221,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
184,2.0,pk,HBO,Walk,132334,WF TDM v9.1.0 - official,OY_2023,OY,2023,Walk
185,2.0,pk,HBO,Walk,132334,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
186,2.0,pk,NHB,Walk,26515,WF TDM v9.1.0 - official,OY_2023,OY,2023,Walk
187,2.0,pk,NHB,Walk,26515,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
188,2.0,pk,HBSch,Walk,185672,WF TDM v9.1.0 - official,OY_2023,OY,2023,Walk
189,2.0,pk,HBSch,Walk,185672,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
190,2.0,pk,HBW,Bike,19061,WF TDM v9.1.0 - official,OY_2023,OY,2023,Bike
191,2.0,pk,HBW,Bike,19061,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
192,2.0,pk,HBC,Bike,6368,WF TDM v9.1.0 - official,OY_2023,OY,2023,Bike
193,2.0,pk,HBC,Bike,6368,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
194,2.0,pk,HBO,Bike,22708,WF TDM v9.1.0 - official,OY_2023,OY,2023,Bike
195,2.0,pk,HBO,Bike,22708,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
196,2.0,pk,NHB,Bike,4630,WF TDM v9.1.0 - official,OY_2023,OY,2023,Bike
197,2.0,pk,NHB,Bike,4630,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
198,2.0,pk,HBSch,Bike,54398,WF TDM v9.1.0 - official,OY_2023,OY,2023,Bike
199,2.0,pk,HBSch,Bike,54398,WF TDM v9.1.0 - official,OY_2023,OY,2023,Non-Motorized
200,2.0,pk,HBW,Auto,1026426,WF TDM v9.1.0 - official,OY_2023,OY,2023,Auto
201,2.0,pk,HBC,Auto,85161,WF TDM v9.1.0 - official,OY_2023,OY,2023,Auto
202,2.0,pk,HBO,Auto,1425747,WF TDM v9.1.0 - official,OY_2023,OY,2023,Auto
203,2.0,pk,NHB,Auto,733922,WF TDM v9.1.0 - official,OY_2023,OY,2023,Auto
204,2.0,pk,HBSch,Auto,86273,WF TDM v9.1.0 - official,OY_2023,OY,2023,Auto
205,2.0,pk,HBW,SchoolBus,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,SchoolBus
206,2.0,pk,HBC,SchoolBus,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,SchoolBus
207,2.0,pk,HBO,SchoolBus,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,SchoolBus
208,2.0,pk,NHB,SchoolBus,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,SchoolBus
209,2.0,pk,HBSch,SchoolBus,153385,WF TDM v9.1.0 - official,OY_2023,OY,2023,SchoolBus
210,2.0,pk,HBW,LCL,9084,WF TDM v9.1.0 - official,OY_2023,OY,2023,LCL
211,2.0,pk,HBW,LCL,9084,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
212,2.0,pk,HBC,LCL,5817,WF TDM v9.1.0 - official,OY_2023,OY,2023,LCL
213,2.0,pk,HBC,LCL,5817,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
214,2.0,pk,HBO,LCL,5358,WF TDM v9.1.0 - official,OY_2023,OY,2023,LCL
215,2.0,pk,HBO,LCL,5358,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
216,2.0,pk,NHB,LCL,1179,WF TDM v9.1.0 - official,OY_2023,OY,2023,LCL
217,2.0,pk,NHB,LCL,1179,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
218,2.0,pk,HBSch,LCL,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,LCL
219,2.0,pk,HBSch,LCL,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
220,2.0,pk,HBW,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,COR
221,2.0,pk,HBW,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
222,2.0,pk,HBC,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,COR
223,2.0,pk,HBC,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
224,2.0,pk,HBO,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,COR
225,2.0,pk,HBO,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
226,2.0,pk,NHB,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,COR
227,2.0,pk,NHB,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
228,2.0,pk,HBSch,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,COR
229,2.0,pk,HBSch,COR,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
230,2.0,pk,HBW,BRT,1651,WF TDM v9.1.0 - official,OY_2023,OY,2023,BRT
231,2.0,pk,HBW,BRT,1651,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
232,2.0,pk,HBC,BRT,5225,WF TDM v9.1.0 - official,OY_2023,OY,2023,BRT
233,2.0,pk,HBC,BRT,5225,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
234,2.0,pk,HBO,BRT,1373,WF TDM v9.1.0 - official,OY_2023,OY,2023,BRT
235,2.0,pk,HBO,BRT,1373,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
236,2.0,pk,NHB,BRT,524,WF TDM v9.1.0 - official,OY_2023,OY,2023,BRT
237,2.0,pk,NHB,BRT,524,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
238,2.0,pk,HBSch,BRT,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,BRT
239,2.0,pk,HBSch,BRT,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
240,2.0,pk,HBW,EXP,1197,WF TDM v9.1.0 - official,OY_2023,OY,2023,EXP
241,2.0,pk,HBW,EXP,1197,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
242,2.0,pk,HBC,EXP,99,WF TDM v9.1.0 - official,OY_2023,OY,2023,EXP
243,2.0,pk,HBC,EXP,99,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
244,2.0,pk,HBO,EXP,32,WF TDM v9.1.0 - official,OY_2023,OY,2023,EXP
245,2.0,pk,HBO,EXP,32,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
246,2.0,pk,NHB,EXP,16,WF TDM v9.1.0 - official,OY_2023,OY,2023,EXP
247,2.0,pk,NHB,EXP,16,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
248,2.0,pk,HBSch,EXP,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,EXP
249,2.0,pk,HBSch,EXP,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
250,2.0,pk,HBW,LRT,13163,WF TDM v9.1.0 - official,OY_2023,OY,2023,LRT
251,2.0,pk,HBW,LRT,13163,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
252,2.0,pk,HBC,LRT,6407,WF TDM v9.1.0 - official,OY_2023,OY,2023,LRT
253,2.0,pk,HBC,LRT,6407,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
254,2.0,pk,HBO,LRT,6717,WF TDM v9.1.0 - official,OY_2023,OY,2023,LRT
255,2.0,pk,HBO,LRT,6717,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
256,2.0,pk,NHB,LRT,2764,WF TDM v9.1.0 - official,OY_2023,OY,2023,LRT
257,2.0,pk,NHB,LRT,2764,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
258,2.0,pk,HBSch,LRT,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,LRT
259,2.0,pk,HBSch,LRT,0,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
260,2.0,pk,HBW,CRT,6692,WF TDM v9.1.0 - official,OY_2023,OY,2023,CRT
261,2.0,pk,HBW,CRT,6692,WF TDM v9.1.0 - official,OY_2023,OY,2023,Transit
262,2.0,pk,HBC,CRT,3609,WF TDM v9.1.0 - official,OY_2023,OY,2023,CRT
